Ulasan,sentimen,Aspect
Staff ramah,positif,Staf/Layanan
 kamar bersih ,positif,kebersihan
sarung bantal/selimutnya agak kotor,negatif,kebersihan
Jam 11 malam check in dapat kamar yang pas pemandangan depan,netral,Other
"Air panasnya berfungsi baik, ac nya butuh waktu untuk dingin",positif,fasilitas
"Teman saya sempat kehilangan dompet tp akhirnya ditemukan pihak hotel, terima kasih banyak",netral,Other
bagus proses check in cepat saya check in sudah jam 5 sore,positif,Staf/Layanan
"Kamar bersih dan luas, internet lancar, channel tv banyak smp 40an channel, air mandi hangat aman dan lancar, air minum bisa isi ulang di lorong kamar",positif,kebersihan
Lokasi hotel di pusat kota,netral,lokasi
Pegawainya ramah,positif,Staf/Layanan
"Minus: sandal hanya untuk 1 orang, kamar tidak kedap jadi suara luar masuk, lampu kamar kurang 1 yang di atas tv jadi agak gelap",negatif,fasilitas
Tidak ada water hetaer di kamar,negatif,fasilitas
Di dalam kamar tidak disediakan tisu hanya di kamar mandi saja tisu toilet,negatif,fasilitas
"Layanan kamar termasuk buruk, fasilitas dispenser air minum kurang",negatif,fasilitas
kamar mandi kurang bersih,negatif,kebersihan
"Enak tenan, keluarga kami seneng banget",positif,Other
"Pelayanan sangat baik, tempat strategis",positif,Staf/Layanan
Hotel bersih dan nyaman,positif,kebersihan
"Handuk, selimut, dan sprei warnanya sudah menguning dan buluk",negatif,kebersihan
Tidak ada tisu makan di kamar hanya tisu toilet,negatif,fasilitas
Make up room by request jadi jangan berharap kamar bersih dan rapi setelah ditinggal keluar kalau tidak request,negatif,kebersihan
Air di kamar mandi alirannya kurang lancar jadi menggenang,negatif,fasilitas
Plusnya rasa makanan pas sarapan lebih enak dari kali terakhir kami menginap di sini,positif,fasilitas
Udah 2x nginep sini,netral,Other
Oke banget,positif,Other
Tidak ada tissue wajah,negatif,fasilitas
Very bad kalo menurut saya sie,negatif,Other
"Dan ketika di konfirmasi dengan resepsionis, jawabnya memang tidak ada layanan tissue wajah di kamar menyedihkan",negatif,fasilitas
Pagi nya sangat eksotik,positif,Other
Masukan nya untuk makanan atau sampah pengunjung segera dibersihkan karena ada kucing yang suka main-mainin,netral,kebersihan
"Hotel aman, nyaman & strategis",positif,fasilitas
Staff Hotel sangat ramah,positif,Staf/Layanan
Bersih nyaman restonya enak,positif,kebersihan
Love it Setiap ke bojonegoro pasti menginap di sini,positif,Other
Kamar bersih,positif,kebersihan
Pelayanan Ramah,positif,Staf/Layanan
Booking mudah,positif,Staf/Layanan
Sangat nyaman banget semoga selalu nyaman,positif,Other
"Parkiran susah, air sempat mati total jam 8 pagi, sarapan sangatÂ² tidak enak baru jam 7 udah banyak yang kosong dan refill-nya lama, makanannya dingin",negatif,fasilitas
Kalo proses check in-nya cepat,positif,Staf/Layanan
Pelayanannya sangat memuaskan dan bagus,positif,Staf/Layanan
Nyaman banget dan mewah! Puas,positif,fasilitas
Semoga ada penambahan penerangan lagi,netral,fasilitas
Dan haduk kumel ya,negatif,fasilitas
Bersih dan nyaman,positif,kebersihan
Tapi tidak ada lobby yang luas jika ada temen mau bertemu,negatif,fasilitas
"Kamar luas, bersih, halaman luas dan juga lokasi dekat dengan pusat kota",positif,kebersihan
"Tempat strategis dekat dengan tempat makan, Sudah 2x menginap di sini",netral,lokasi
Suasananya tenang Dan pelayanannya ramah,positif,Staf/Layanan
Secara umum kamar nyaman & tidak ada kendala,positif,fasilitas
Sangat bersih dan nyaman banget pelayanan,positif,kebersihan
"Bersih kamarnya, pelayanannya oke banget",positif,kebersihan
Makannya komplit dan nikmat,positif,fasilitas
"Gak ada bedanya check in online melalui web yang dikirim melalui email, tetap saja check in di resepsionis di minta ID lagi dan isi data dan lucunya kamar by request bisa didapatkan oleh pelanggan yang baru book, parkir terbatas tidak ada yang mengarahkan, serasa bukan mau menginap di fave lah",negatif,Staf/Layanan
"Kamar agak longgar aja, lorong bau aroma abu rokok, saluran kamar mandi kurang lancar",negatif,kebersihan
Secara umum semua service hotel ini bagus,positif,Staf/Layanan
Hanya dudukan & tutup closet kurang begitu bersih,negatif,kebersihan
Semua fasilitas & breakfast baik,positif,fasilitas
Security juga baik,positif,Staf/Layanan
"Kamar bagus, bersih, nyaman dan tentram",positif,kebersihan
Pelayanan baik dan ramah,positif,Staf/Layanan
Sarapan cukup lengkap dan enak,positif,fasilitas
Kamar cukup bersih,positif,kebersihan
"Alhamdulillah, pertama Kali nginep di hotel ini, nyaman bersih, rapi, jadi pingin balik lagi",positif,kebersihan
"Sangat menyenangkan, next insyaAllah kembali lagi karena dekat dengan rumah kerabat",positif,lokasi
Menginap di fave cukup menyenangkan karena dekat dengan rumah orang tua,positif,lokasi
Selalu di fave kalau ke bojonegoro,netral,Other
"Kamarnya sangat bagus, pelayanannya semuanya ramah-ramah",positif,Staf/Layanan
Memuaskan sekali,positif,Other
"Suasana tenang, parkiran cukup luas walaupun memakai lahan di seberang hotel",positif,Staf/Layanan
Mungkin sudah butuh perbaikan di kasur nya yang berasa agak turun karena faktor pemakaian dalam waktu yang lama,negatif,fasilitas
"nyaman, tenang & pegawainya ramah-ramah",positif,Staf/Layanan
Pelayanan staf dan resepsionis sangat bagus ,positif,Staf/Layanan
sayang satpam hanya melihat saat kendaraan saya menyebrang saat malam hari tidak di sebrangkan,negatif,Staf/Layanan
"Hotel langganan kalau ke Bojonegoro, fasilitas dan pelayanan baik",positif,Staf/Layanan
"Ada masalah pada lift, saat digunakan tidak bisa menutup dan hanya 1 lift yang diaktifkan, selain itu sarapan makin menurun kualitas nya, susu dicampur air terlalu banyak dan makanan yang disajikan kurang enak, nasi goreng hambar dan di proses ulang mengakibatkan nasi jadi lembek dan tidak enak",negatif,fasilitas
Semua staf hotel sangat ramah dan kamar yang bersih,positif,kebersihan
"Sesuai harga, langganan tiap bulan kalo ke bojonegoro",netral,Other
Stafnya ramah,positif,Staf/Layanan
Akan nginap lagi dech,netral,Other
"Lokasi di pusat kota, banyak kuliner",netral,lokasi
Suasana hotel tenang dan staf nya ramah,positif,Staf/Layanan
"Untuk kamar enak, nyaman, bersih",positif,Staf/Layanan
hanya saja saya dapat kamar 312 mungkin dekat tangga darurat atau tempat cleaning agak sedikit berisik,negatif,kebersihan
"Sangat bersih, petugas sangat efisien",positif,kebersihan
Mengesankan tinggal di hotel ini,positif,Other
Kak maaf bantalnya kempes banget,negatif,fasilitas
Sangat nyaman,positif,Other
Mudah dijangkau dan strategis,positif,lokasi
Semoga bisa berkunjung kembali,netral,Other
"Handuk bau rokok, selimut bau keringet atau asam gitu ",negatif,fasilitas
"tapi pelayanan top, walaupun tiap ke bojonegoro selalu nginap di sini, jadi tolong lebih di tingkatkan lagi",positif,Staf/Layanan
favehotel Bojonegoro berada di pusat kota dengan lokasi yang strategis,netral,lokasi
Termasuk salah satu hotel yang bagus di daerah tersebut dengan kelas bintang 3,positif,lokasi
Kebersihan hotel terjaga,positif,kebersihan
"Untuk breakfast terdapat 4 main menu, roti, omelet, buah, dan beberapa makanan tambahan",netral,fasilitas
Overall hotel ini oke dan layak untuk menjadi tempat stay di Bojonegoro,positif,lokasi
"Tempat strategis,10 menit ke Stasiun Bojonegoro, menjadi salah satu hotel pilihan ketika stay di Bojonegoro",positif,lokasi
Untuk breakfast lumayan dan room service oke,positif,fasilitas
"Nyaman, ramah dan bersih sarapan enak",positif,kebersihan
Bagus penuh kesan terima kasih,positif,Other
Tempatnya bersih dan ramah-ramah,positif,kebersihan
Berada di tengah kota,netral,Other
"tenang, tersedia kamar dengan connecting door",positif,fasilitas
Minusnya tidak tersedia pemanas air dan teh/kopi,negatif,fasilitas
"Kalau ke Bojonegoro lagi, bisa menjadi pilihan,Nyaman, AC dingin, semua ramah",positif,fasilitas
"Ini pertama kali saya menginap di sini tapi kesan pertama begitu buruk, kamar minim lampu juga ğŸ˜",negatif,fasilitas
Cek in cepat,positif,Staf/Layanan
"Hari pertma di kama 621 shower air panas tidak stabil, sebentar panas sekali, sebentar dingin tidak normal",negatif,fasilitas
bisa menikmati mandi air hangat dengan nyaman,positif,fasilitas
Air buangan di kamar mandi juga tdk bisa langsung habis,negatif,fasilitas
Sandaran shofa di kamar juga mulai rusak/kalau di pakai sandar mau ambruk,negatif,fasilitas
"Cuma request checkout buat mandi 30 menit aja gabisa, padahal hotel lain bisa kompen bentar",negatif,Staf/Layanan
"Hotel yang bersih, pegawainya ramah-ramah, toilet bersih",positif,kebersihan
Freshroom yang smoking room sofanya udah kurang bagus,negatif,fasilitas
Kamar bersih dan luas,positif,kebersihan
"Satpam dan parkir tidak menyenangkan, parkir di depan hotel dengan lantai tanah, hujan bejek dan harus jalan kaki yang lumayan untuk bisa samapi di lobby, sampai sudah basah semua, tidak ada payung dan satpam cuma duduk di pos satpam",negatif,Staf/Layanan
Cukup nyaman dan ramah pelayanannya,positif,Staf/Layanan
"Breakfastnya enak, lengkap, kamarnya juga nyaman",positif,fasilitas
Nyaman dan pelayanan ramah,positif,Staf/Layanan
Mantap,positif,Other
"Kamar cukup luas, sarapan menyenangkan",positif,fasilitas
"Ruangan panas, karena tirai dibuka, sedangkan kamar menghadap matahari terbenam",negatif,fasilitas
Lumayan lahh buat harga segitu,netral,Other
Bersih nyaman dan tenang,positif,kebersihan
Bisa buat healing menghirup udara segar dimalam hari sambil melihat kerlap kerlip kota bojonegoro dari ketinggian,positif,lokasi
"Kamar bersih dan nyaman, Ac dingin dan pelayanan baik",positif,Staf/Layanan
"Setiap business trip ke daerah Bojonegoro, pasti nginepnya di sini",netral,Other
"Deket kemana-mana, mau antigen tinggal jalan",netral,lokasi
"Kamarnya bersih, pelayanannya juga baik semuaâ€¦ sayangnya ga cobain breakfastnya, but itâ€™s oke maybe later harus cobain!",positif,Staf/Layanan
"Permintaan kamar dipenuhi dengan baik, disambut ramah oleh petugas di resepsionis",positif,Staf/Layanan
 kebetulan toiler saya kurang bersih namun cepat tanggap saat saya telfon minta di bersihkan,negatif,kebersihan
Secara service bagus,positif,Staf/Layanan
Cuma mungkin secara infrastruktur perlu mendapat perhatian lebih seperti sela atau lubang dinding dan lantai yang mengakibatkan munculnya semut dan lain-lain,negatif,fasilitas
Selebihnya secara service aman,positif,Staf/Layanan
"Saya sangat menikmati menginap disi, tempat nyaman pelayanan ramah fasilitas ok, masakan enak dengan beragam menu",positif,Staf/Layanan
"Rekomendasi banget deh saat liburan nginap di Favehotel Bojonegoro! , tapi it's ok sih selain itu semua good ğŸ‘",positif,Other
Kekurangan 1 suara dari kamar sebelah itu terdengar dari kamar jadi agek risih gimana gitu,negatif,fasilitas
"Pelayanannya ramah, kamar cukup bersih",positif,Staf/Layanan
Makanannya enak sama pelayanannya mantap,positif,fasilitas
Cuma hotel ini menjadi pilihan satu-satunya jika berkunjung ke bojonegoro town of gas and oil,netral,lokasi
"Perlu perbaikan di pipa air shower nya Karena saat dinyalakan shower nya, airnya netes juga dari plapon",negatif,fasilitas
"Dudukan kloset nya perlu diganti, karena sudah menguning (maaf) jorok keliatannya",negatif,fasilitas
Overall kamarnya nyaman dan bersih,positif,kebersihan
Pelayanan cukup baik dan menyenangkan,positif,Staf/Layanan
hanya parkir mobil yang susah,negatif,fasilitas
"Sarapannya enak dan pelayanan ramah, kamarnya enak dan mantap",positif,Staf/Layanan
Cafe belum waktunya ditutup sudah diclosed,negatif,fasilitas
"Saya booking 3 kamar untuk keluarga, dua dari 3 kamar AC tidak dingin",negatif,fasilitas
"Confirm ke resepsionis baru dipanggilkan bagian maintenance 15 menit kemudian dan hanya mengganti mode AC melalui remote ke mode Jet, yang artinya angin keluar kenceng namun tetap tidak dingin",negatif,fasilitas
"Setelah itu saya tinggal keluar sambil berpesan untuk cek ac saya karena tetap tidak dingin Setelah saya datang lagi saya nanya apakah AC udah dibenerin dijawab resepsionis sudah dicek buk, coba ibu cek dulu Well, AC tetap kaya kipas angin",negatif,fasilitas
"Bantal kotor ada noda bekas sepatu, apakah jangan-jangan tidak diganti? Saya komplain kembali lalu petugas datang mengganti",negatif,kebersihan
"Setelah keluar makan, saya balik ke parkiran, di hadang petugas katanya parkir full, kami harus parkir di badan jalan, nah pass saya masuk ternyata datang Alphard dan innova milik tamu lain yang boleh masuk dan dapat parkir",negatif,fasilitas
Bagus,positif,Other
Hebat,positif,Other
Baik,positif,Other
Nyaman,positif,Other
Aman,positif,Other
Oke,positif,Other
"Diberikan yang diberikan kami setengah basah, air panas tidak keluar",negatif,fasilitas
"Recommended banget, nyaman, pesan 2 kamar",positif,fasilitas
Pelayanan ramah kebersihan baik,positif,Staf/Layanan
Favehotel bjnegoro selalu jadi pilihan utama kalau sedang berlibur untuk mwngunjungi anak di bjnegoro,positif,Other
Pelayanannya ramah dan fasilitas lengkap,positif,Staf/Layanan
Sangat menyenangkan menginap di Favehotel Bojonegoro,positif,Other
Semua staff ramah,positif,Staf/Layanan
Lingkungan juga sangat nyaman,positif,lokasi
Good place pokoknya di Bojonegoro,positif,lokasi
Hotel yang nyaman untuk di tinggali dengan staff yang ramah serta kamar yang bersih dan breakfast yang bervariasi,positif,fasilitas
"Lokasi hotel yang sangat strategis, dekat dengan tempat berbagai macam makanan kalo malam hari, posisi yang di tengah kota dan gampang akses kemana saja, buat tamu yang ingin visit keperusahaan yang membutuhkan swab antigen atau PCR tinggal jalan kesebelah hotelnya ada rs polri yang menyediakan 24 jam",positif,lokasi
"sayangnya hanya konsep tidak ada lagi minuman botol disediakan di kamar, sehingga kita harus wara wiri ke lorong untuk isi ulang air minum",negatif,fasilitas
"Rapi, ramah, enak nyaman lah pokoknya",positif,Other
Alhamdulillah nyaman menginap di sini,positif,Other
"Pesan 2 kamar, 1 via aplikasi Traveloka dan 1 lagi Bisa request kamarnya bersebelahan dan di dlmnya ada pintu yang bisa dibuka menghubungkan kedua kamar tersebut, sehingga memudahkan kami untuk berkumpul bersama langsung saat itu juga",positif,fasilitas
Mudah untuk mencari jajanan/makanan di sekitar hotel dan jarak ke alun-alun Â±700 m,positif,lokasi
Terima kasih Traveloka dan Favehotel Bojonegoro,positif,Other
"Suara kamar sebelah, depan dan kamar atas sampai ke dalam kamar sampai malam ramai akhirnya tidak bisa istrahat dengan nyaman",negatif,fasilitas
Kamar nyaman,positif,fasilitas
"sayang untuk kondisi gelas tidak bersih, dispenser air minum kosong",negatif,kebersihan
"Suka, kamar bersih, semua masih bagus",positif,kebersihan
Makanan juga enak,positif,fasilitas
Tidak menyesal lah pokoknya menginap di fave hotel,positif,Other
Semua karyawan nya ramah-ramah mulai dari satpam ampe cleaning room semua ramah,positif,Staf/Layanan
Kamar nya bersih luas nyaman,positif,kebersihan
Untuk makanan dan minumannya banyak menu nya variatif,netral,fasilitas
Cuma sayang kamar gak ada balkon nya dan sikat gigi nya cuma 1,negatif,fasilitas
Selain itu semua nya puas dan dekat dengan kafe-kafe,positif,lokasi
Kalo mau cari makan di luar hotel gampang,positif,lokasi
Kalo ke bojonegoro pasti nginep sini lagi,netral,Other
Lokasi oke,positif,lokasi
Kebersihan oke,positif,kebersihan
Sudah 2 kali kesini,netral,Other
"Kamar bersih, AC dingin, water heater berfungsi",positif,kebersihan
Kami sekeluarga sangat happy menginap di Fave hotel ini,positif,Other
"Selain kamar nyaman, pesan 2 kamar bisa connecting room lalu makanannya juga variatif, tempatnya nyaman",positif,fasilitas
Next time kalau ke bojonegoro lagi nginap sini,netral,Other
Terima kasih Fave Hotel Bojonegoro ğŸ™,positif,Other
Lalat di kamar,negatif,kebersihan
Semut di meja sejak awal kami masuk,negatif,kebersihan
Lantai berdebu,negatif,kebersihan
Lokasinya bagus sih,positif,lokasi
 cuma buat request2 agak susah jadi kesanya kurang menyenangkan,negatif,Staf/Layanan
Cocok banget untuk liburan,positif,Other
"Tempat nyaman, bersih, ac juga dingin",positif,kebersihan
"Dekat dengan alun alun kota, kuliner mudah dan cukup terjangkau",positif,lokasi
Kita smpet maen ke wisata kayangan,netral,Other
Tempat parkir kurang rapi untuk motor,positif,fasilitas
"Hotelnya bagus, nyaman dan bersih",positif,kebersihan
"Staff hotel ramah, kamarnya bersih",positif,Staf/Layanan
Tidak disediakan pasta gigi,negatif,fasilitas
breakfast kurang bervariasi tp ayam tepungny enak ğŸ˜,negatif,fasilitas
TVnya tidak bisa memutar video by usb disk atau harddisk namun channelnya tv lengkap,negatif,fasilitas
"Ini lokasi nya sangat strategis di pusat kota, masalah kualitas pelayanan, kamar, fasilitas tidak perlu di ragukan, yang tidak kalah keren resto taste bites nya menyediakan beef steak yang enak",positif,Staf/Layanan
"Letak hotel yang strategis, bersih, perlayanan ramah & yang penting didepan hotel ada musholla untuk sholat subuh berjamaah ğŸ‘",positif,lokasi
"Kamar bersih, nyaman, luas",positif,kebersihan
Puas sekali,positif,Other
Kamarnya nyaman,positif,fasilitas
"Pelayanannya ramah, proses cek in juga cepat",positif,Staf/Layanan
"Kamar cukup bersih, toilet bersih",positif,kebersihan
Selain itu kami cukup senang memginap di sana,positif,Other
"Pelayanan yang bagus, kamar bersih dan nyaman ditambah dengan view yang pas",positif,Staf/Layanan
Pesan 2 kamar request bersebelahan dan bisa,netral,fasilitas
"Terima kasih, tingkatkan terus kualitas pelayanan ğŸ‘ŒğŸ¼",positif,Staf/Layanan
"Ada tomcat, bikin radang di kulit dan tidak nyaman",negatif,kebersihan
pelayanannya baik sekali,positif,Staf/Layanan
cuma agak disayangkan tempat sabun untuk wastafelnya Takutnya jatuh ke lantai dan bisa membuat terpeleset menetes terus,negatif,kebersihan
Hanya fasilitas kurang banyak kalau mau staycation di sini,negatif,fasilitas
"Menu sarapan banyan sekali variasi nya Ada bubur ayam, sereal, roti bakar, nasi goreng, basi putih m macem macem",positif,fasilitas
Petugasnya ramah-ramah dan menu sarapannya lumayan,positif,fasilitas
Bersih tempatnya namun mungkin perlu ditambahi teko listrik air minum ya kak,positif,fasilitas
"Hotel yang super nyaman, dengan harga yang friendly banget",positif,Other
"Saya sudah pesan ke FO di pagi hari untuk tidak membersihkan kamar, tetapi setelah siang hari saya balik ke kamar, ternyata kamar sudah dibersihkan",negatif,kebersihan
Jadi privasi saya sudah tidak dihargai,negatif,Staf/Layanan
Saya bersama keluarga sudah beberapa kali menginap disini setiap pulang liburan ke Bojonegoro,netral,Other
Hotelnya bagus,positif,Other
berada di tengah kota,netral,lokasi
kamar cukup luas dengan bed besar,positif,fasilitas
kamar dan toilet bersih,positif,kebersihan
pelayanan sangat ramah dan cepat,positif,Staf/Layanan
"Hidangan breakfast diluar ekspektasi saya, mereka punya pasta penne yang cukup nikmat",positif,fasilitas
"nyaman , staf hotel juga sangat ramah , proses cek in dan cek out cepat",positif,Staf/Layanan
"Hotelnya nyaman, lokasi strategis di tengah kota",positif,lokasi
Lalu baked bean ala Fave Bojonegoro juga enak,positif,fasilitas
Resepsionis hotel juga sangat ramah :),positif,Staf/Layanan
sangat nyaman sekali dan bersih,positif,kebersihan
"Soal breakfast mnrt saya biasa saja, bahkan bisa dikatakan minim jika dibandingkan dengan Hotel Fave lain yang pernah saya kunjungi",negatif,fasilitas
Untuk kebersihan kamar juga biasa - biasa saja bahkan bbrp kali saya temui bbrp helai rambut baik di ranjang maupun di Kamar Mandi,negatif,kebersihan
Minus nya hotel ini adalah di tempat parkir yang minim dan kita harus parkir di lahan kosong di seberang hotel,negatif,fasilitas
"Jika cuaca tidak hujan, tidak menjadi masalah, tetapi jika cuaca hujan dan kita tidak memiliki payung di mobil maka hal ini tentu menjadi sangat bermasalah",negatif,fasilitas
"Selain itu kekurangan dari hotel ini adalah kejujuran karyawan hotel, terutama dari housekeeping yang harus lebih diperhatikan lagi",negatif,Staf/Layanan
Alat pembuat kopi tidak ada toiletries kualitas lebih rendah dibanding sesama fave hotel di kota lain,negatif,fasilitas
"lokasi tengah kota, mudah kemana-mana",positif,lokasi
Restoran memang apik tapi sayang saat masuk sangat terganggu bau kecoa,negatif,kebersihan
"Petugas baik, sigap dan jujur",positif,Staf/Layanan
"kurangnya hanya bednya bunyi jadi tidak nyaman, terima kasih",negatif,Staf/Layanan
Soalnya hujan jadi check-out tanpa pake cuduh,netral,Staf/Layanan
Perlu evaluasion kebersihan kamar dan amenitiesnya,negatif,kebersihan
"Lokasi yang strategis, di jalan utama",positif,lokasi
Pelayanan yang ramah,positif,Staf/Layanan
"Tempat parkir yang sempit dan menampung mobil sangat terbatas, karena parkiran penuh, lalu diarahkan untuk parkir di seberang jalan",negatif,fasilitas
"Staf ramah, nyaman, dan bersih",positif,Staf/Layanan
"kamarnya cukup luas ya dan kasurnya besar, saya pikir fave hotel akan kecil-kecil kamarnya, ternyata nyaman juga",positif,fasilitas
pelayanannya bagus banget ğŸ¥°ğŸ¥°ğŸ¥°ğŸ¥°,positif,Staf/Layanan
Minuman tidak tersedia di kamar,negatif,fasilitas
Tamu kok tidak dikasih air putih?,negatif,fasilitas
"Kamar bersih, pokoknya sesuai dengan foto, makanan standard saja, protokol kesehatan bagus",positif,kebersihan
"Hotelnya nyaman, bersih, pelayanan bagus dan ramah",positif,Staf/Layanan
"Tempat dan kebersihan oke,",positif,kebersihan
"Kamar, makanan dan kebersihan semua sudah sangat baik",positif,kebersihan
Hanya parkiran saja sempit jadi harus parkir di Seberang,positif,fasilitas
Mau ambil celana dalam ketinggalan di mobil jadi males,netral,Other
room bersih dengan segala fasilitas hotel layaknya bintang diatasnya ğŸ‘,positif,kebersihan
"Menyenangkan, tempat bersih",positif,kebersihan
Menu kurang variatif,negatif,fasilitas
Good pokoknya bersih jugaa sih,positif,kebersihan
Tempat oke dan di tengah kota,positif,lokasi
Tapi hotelnya tolong dilengkapi teh dan kopi sachet,netral,fasilitas
tidak adanya air botol di dalam kamar hotel Harus ambil dulu dispenser,negatif,fasilitas
" kamar bersih, nyaman",positif,kebersihan
Sarapan pagi juga kurang puas dan rasanya,negatif,fasilitas
"Saya sudah komplain di reseption tapi tidak ada tanggap sama sekali, kunci kamar bunyi terus, kurang tanggap pelayanannya",negatif,Staf/Layanan
"Harga terakhir menginap, nyaman",positif,Other
"mohon si restoran (breakfast) menu di ganti dong tiap hari, hehehe",netral,fasilitas
"Saya sudah 3 kali kesini semakin ada peninggalan pelayanan sih disini, staf sekarang lebih ramah",positif,Staf/Layanan
"Baru masuk portal, security cuek, begitu mau parkir di dalam di bilang penuh dan harus keluar lagi, parkir di seberang",negatif,Staf/Layanan
check-in sudah request kamar lantai bawah malah di kasih di atas,negatif,Staf/Layanan
"Menyenangkan, recommended, bersih di tengah kota",positif,kebersihan
"Salah satu hotel terbaik di Bojonegoro, pelayanan ramah, makanan enak, recommended",positif,Staf/Layanan
"pelayanan ramah, tidak susah jugağŸ˜Š",positif,Staf/Layanan
staf kurang ramah,negatif,Staf/Layanan
Housekeseping tidak berisik lagi lebih sopan,positif,Staf/Layanan
makanan juga lumayan,netral,fasilitas
 kamar bersih,positif,kebersihan
Makanan kurang bahkan tidak nyus,negatif,fasilitas
Tidak ada pemanas buat kopi di kamar,negatif,fasilitas
"Bersih, nyaman",positif,kebersihan
"Terlalu pengiritan tidak ada botol aqua di kamar mandi atau ruang kamar, tetapi cuma disediakan teko suruh ambil sendiri",negatif,fasilitas
Lokasi sangat mudah ditemukan,positif,lokasi
Kamar bersih nyaman dan cukup luas,positif,kebersihan
Sayang saya mendapat kamar yg pemandangannya menghadap k samping hotel dan hanya terlihat atap bangunan hotel,netral,fasilitas
Hotel menyediakan air minum yg dpt diambil d lorong hotel,netral,fasilitas
"Untuk alat mandi, sudah cukup lengkap tetap haircap akan dikenakan charge yg tdk mahal",positif,fasilitas
Di depan hotel terdapat resto yg buka sampai malam,netral,lokasi
Lobby nya bersih dgn konsep minimalis,positif,kebersihan
"Lokasi hotel cukup dekat dengan alun-alun kota (naik mobil 5mnt), sehingga kalau malam bisa jalan-jalan di alun-alun",netral,lokasi
"Bagus dan bersih, nyaman dan tidak berisik",positif,kebersihan
