Ulasan,sentimen,Aspect
"Pelayanan yang ramah, selalu fast respon ketika saya meminta sajadah dan lain-lain",positif,Staf/Layanan
"Pesan kamar non smoking, dikasih kamar smoking, saat minta ganti ribet",negatif,Staf/Layanan
"Sarapan kurang variatif dan rasa biasa, kurang worth it dengan harga yang dibayar",negatif,fasilitas
"Tidak ada air dalam botol, diganti galon tapi saat malam habis dan belum di-refil sampai pagi",negatif,fasilitas
kamar kurang lengkap,negatif,fasilitas
Tidak ada pemanas air,negatif,fasilitas
 parkir sangat terbatas,negatif,fasilitas
tapi sayang house keepingnya berisik sekali pintu kamar saya selalu kena dorongannya jadi berisik,negatif,Staf/Layanan
Kemudian untuk loundry tidak dapat plastic bag jadi suruh taruh di tempat yang disediakan sepele tap jadi tidak oke,negatif,lokasi
 pelayanan menyenangkan,positif,Staf/Layanan
bocor air WC-nya,negatif,fasilitas
"kamar sih lumayan bersih, tapi sayang tidak ada heather & air mineral d tiap kamar",negatif,fasilitas
Baru kali ini saya menginap di hotel yg nyediain dispenser air galonan d luar kamar ala kos2an,netral,fasilitas
begitu juga dg menu sarapan yg rasanya benar-benar hancur,negatif,fasilitas
"parkir juga minim, sampai harus ngalah dg parkiran angkringan",negatif,Other
Diperparah dg kurang tanggapan security utk mencarikan tempat parkir,negatif,Staf/Layanan
Cukup nyaman,positif,Other
Sesuai dengan deskripsi pada aplikasi,netral,Other
Tidak adanya air mineral ketika dikamar,negatif,fasilitas
"Dengan harga segitu, Harusnya untuk air mineral tetap disediakan sehingga tamu tidak perlu keluar untuk beli air mineral",negatif,fasilitas
"Dengan harga segitu, fasilitas minim",negatif,fasilitas
"WiFi lemot, tanpa sarapan",negatif,fasilitas
Lengkap sudah,positif,Other
Tempatnya sih rapi ,positif,lokasi
"Kamar bersih, hotel konsep go green",positif,kebersihan
AC kurang dingin padahal temperaturnya udah di set ke yang dingin,negatif,fasilitas
"Kamar nyaman, bersih, dan wangi",positif,kebersihan
Sarapan di restoran yang enak dan banyak variasinya,positif,fasilitas
Kekurangannya susah dapat parkir mobil terutama bila datang agak malam,negatif,fasilitas
Kamar bau rokok dan saluran pembuangan kurang lancar,negatif,kebersihan
Pelayanan baik,positif,Staf/Layanan
Pengalaman buat babymoon keluarga kecil kami,netral,Other
Terima kasih Fave Hotel Bojonegoro,positif,Other
Tema hotelnya pink-pink gt lucu banget,positif,Other
Kamar mandi dan bed bersih sekali,positif,kebersihan
"cuma saran, Selalu cek ketersediaan sabun di kamar mandi soalnya kebetulan di kamar saya sabun cuci tangannya habis",negatif,fasilitas
"Dan ada salah satu spot stop kontak tidak berfungsi, baiknya diberi tanda out of service",negatif,fasilitas
So far so good dari pelayanan sampai kualitas kamarnya juga oke dengan budget segitu,positif,Staf/Layanan
"namun sebatas air minum saja di room tidak disediakan, terpaksa sudah beli di luar",negatif,fasilitas
pelayanan ramah,positif,Staf/Layanan
"tempat parkir tersedia cukup,",positif,fasilitas
tidak ada botol air mineral,negatif,fasilitas
kurang ramah,negatif,Staf/Layanan
parkir kurang memadai hingga harus parkir di jalan raya,negatif,fasilitas
 tempatnya bersih dan nyaman,positif,kebersihan
sayang parkirnya kurang besar,negatif,fasilitas
resepsionis ramah juga,positif,Staf/Layanan
"Service di front office yang ramah, tepat dan excellent",positif,Staf/Layanan
Semua sudah by system antara hotel dengan agen online,netral,Staf/Layanan
Sangat puas dengan layanan mulai pemesanan via agen online aplikasi sampai saat check-out hotel pun,positif,Staf/Layanan
Hotel bersih tempat tidur nyaman,positif,kebersihan
Peralatan mandi tidak dilengkapi,negatif,fasilitas
"Hotelnya nyaman, bersih",positif,kebersihan
makanannya juga enak,positif,fasilitas
pelayanan cepat dan ramah serta sopan santun,positif,Staf/Layanan
Listriknya bolak-balik mati sebanyak 3 kali,negatif,Staf/Layanan
Pada saat breakfast tumis kacang panjangnya masih mentahğŸ˜¤,negatif,fasilitas
Hotel bersih,positif,kebersihan
"Hotel fave selalu menjadi favorit kami ketika berlibur atau pun untuk urusan dinas, karena selain murah, hotel ini juga bersih",positif,kebersihan
"check in cepat, satpam ramah hotel sesuai harga",positif,Staf/Layanan
Fave hotel bojonegoro sudirman adalah salah satu destinasi menginap saya saat di Bojonegoro,netral,lokasi
"Letak strategis, dekat ATM juga Selain itu ada cafe di depan hotel jadi kalo mau nongkrong atau ketemu dengan client bisa lebih enak",positif,lokasi
namun kurang fasilitas coffee maker,negatif,fasilitas
"Untuk kamar bersih, lokasi strategis ",positif,kebersihan
"Hotel yang menyenangkan, tempatnya bersih",positif,kebersihan
"Mantap, disini nyaman, seperti rumah sendiri",positif,fasilitas
Bersih,positif,kebersihan
Recommended hotel,positif,Other
"Menyenangkan, kamar bersih, dekat kota",positif,kebersihan
Hotel nyaman dan bersih,positif,kebersihan
"Dari resepsionis dikasih kunci kamar no 311, waktu buka kamarnya berantakan apek kaya bekas dipake orang, Langsung turun lagi komplain ke resepsionisnya minta ganti kamar baru dapat kamar 227",negatif,Staf/Layanan
"rapi, bersih seperti biasa",positif,kebersihan
Bakal balik lagi ke sini tiap staycation ke Bojonegoro,netral,Other
Kamar sangat bersih,positif,kebersihan
Anak dan cucu saya sangat puas dan senang menginap di hotel ini,positif,Other
Lokasinya juga berada di jalan protokol dan tengah kota,netral,lokasi
"Lokasi cukup strategis, dekat dengan pusat kota dan mudah di jangkau dimanapun",positif,lokasi
"Minusnya parkirnya kurang luas, jika parkir penuh harus parkir di lahang yang di sediakan hotel terletak di sebrang jalan",negatif,fasilitas
"Bersih, nyaman, dan lokasi di tengah kota",positif,kebersihan
Dekat dengan alun-alun sehingga may sholat ied cukup dengan jalan kaki saja,netral,lokasi
harga cukup bersahabat,positif,Other
"Saya menginap di fave bojonegoro ini sudah 4 kali, karena bersih",positif,kebersihan
"Tapi menurut saya, kali ini kebersihannya kurang ya",negatif,kebersihan
Pelayanannya bagus,positif,Staf/Layanan
" staf hotel ramah, sesuai harga",positif,Staf/Layanan
makanannya enak,positif,fasilitas
"Namun waktu saya mau geser, lantai di bawah ranjang kotor, ada plastik bungkus cereal, puntung rokok",negatif,kebersihan
"staf ramah, lokasi strategis",positif,lokasi
fasilitas kamar juga lengkap serta menu makanan yang enak-enak sesuai dengan kelasnya,positif,fasilitas
hanya menu breakfast kurang bervariasi,negatif,fasilitas
pelayanan staf cepat,positif,Staf/Layanan
namun untuk sarapan pilihan menu dan rasa kurang,negatif,fasilitas
 pelayannya ramah dan view dari kamarnya bagus,positif,Staf/Layanan
makanan enak,positif,fasilitas
pelayanan bagus,positif,Staf/Layanan
"sayang tempat parkir mobil terbatas, siapa cepat yang dapat",negatif,fasilitas
kebersihan juga baik,positif,kebersihan
tersedia mineral water di kamar dan refill di koridor hotel,positif,fasilitas
ya mungkin untuk handuk agar diberi wewangian yah biar tidak apek,negatif,fasilitas
 pelayanan ramah dan harga terjangkau,positif,Staf/Layanan
Agak kecewa dengan kebersihannya,negatif,kebersihan
Handuknya juga ada noda coklat,negatif,kebersihan
"Setelah saya sampaikan keluhan, mereka langsung menanggapi dan handuk diganti, dan kolong ranjang dibersihkan, ranjang pun disatukan",positif,Staf/Layanan
"Terima kasih telah cepat menanggapi keluhan pelanggan, mohon ke depannya lebih perhatian kebersihan",positif,Staf/Layanan
Area parkir terbatas,negatif,fasilitas
Di kamar tidak ada water heater,negatif,fasilitas
"Kamar mandi showernya hanya tertutup separuh, kalau mandi airnya mesti keluar ke area kering",negatif,fasilitas
Ada beberapa point finishing bangunannya yang keliatan belum di cat,negatif,fasilitas
Menu sarapan kurang bersahabat dengan anak,negatif,fasilitas
Lain-lain secara umum bagus,positif,Other
"Request saya: 1 bed sampai di hotel tanyat kamar 1 bed sudah habis, saya selaku konsumen tidak mendapat notifikasi pihak hotel menawarkan bed digabung, ternyata hanya digeser (mepet) tidak digabung Seakan akan ini adalah resiko saya selaku konsumen (disambung) layaknya menggabung beds dan tidak ada permintaan maaf sama sekali",negatif,fasilitas
 pelayanan ramah,positif,Staf/Layanan
"Tempat bersih, nyaman kalau ke Bojonegoro menginap disini lagi",positif,kebersihan
"Nyaman, tenang, dan baik pelayanannya",positif,Staf/Layanan
Pengalaman saya menginap disini sangat menyenangkan,positif,Other
kamar bersih ğŸ‘,positif,kebersihan
minta kamar dengan view depan namun saat di kamar diberi veew tembok,netral,Staf/Layanan
dan pegawai ramah tamah semua,positif,Staf/Layanan
drainase kamar mandi mampet sehingga meluber keluar kamar mandi,negatif,Staf/Layanan
 tapi ada salah satu security yg kurang ramah,negatif,Staf/Layanan
"Pelayanan standar nasional, mudah ditemukan",positif,Staf/Layanan
"Makanannya enak, tempatnya nyaman",positif,fasilitas
"Kamar hotel bagus, makanan enak, lokasi strategis namun alangkah baiknya untuk lebih memprioritaskan tamu yang menginap untuk mendapatkan parkir, daripada tamu restoran",positif,Staf/Layanan
"Bersih, nyaman, ramah, tenang tidak berisik minusnya parkiran kurang menadai",positif,kebersihan
Staf hotel ramah dan tanggap dan ,positif,Staf/Layanan
Salah satu hotel budget terbaik,positif,Other
Ada suara berisik seperti ada renovasi saat masih tidur,negatif,Staf/Layanan
"lokasi hotel di tengah kota, strategis dekat kemana-mana",positif,lokasi
"Sesuai nama budget hotel, murah, menyenangkan mulai dari lobby sampai kamar modern sekali, tempat parkir lumayan luas",positif,fasilitas
Kebersihan kamar tidur dan kamar mandi sangat bagus,positif,kebersihan
"Staf yang ramah dan selalu cepat dalam menanggapi permintaan tamu, tempat strategis di dalam pusat kota",positif,Staf/Layanan
Restoran yang menyajikan makanan enak dan tempat yang nyaman,positif,fasilitas
Mungkin nanti ke depannya bisa ditambah dengan fasilitas bermain anak kecil atau kolam renang atau taman kecil,netral,fasilitas
Pemesanan honeymoon room yang saya pesan sangat membuat saya dan istri saya terkesan dan persis seperti apa yang saya inginkan,positif,Staf/Layanan
"Hotelnya bersih, rapi",positif,kebersihan
"Hotel nyaman, bersih dan tidak terlalu mahal",positif,kebersihan
Harga makanan di restonya juga masih make sense,positif,fasilitas
Terima kasih Favehotel Bojonegoro,positif,Other
Sudah 2 kali di sini dan selalu menyenangkan!,positif,Other
"Dekat dengan Alun-alun, pas kemarin saya kesana lagi ada acara karnaval SCTV jadi rame menyenangkan",positif,lokasi
"Setiap kali ke Bojonegoro saya pasti menginap di hotel fave, tempatnya nyaman dan layanannya baik",positif,fasilitas
"Sangat puas, tempat nyaman, AC dingin, bagus, pelayanan juga baik",positif,Staf/Layanan
Great deh,positif,Other
Staff hotel ramah,positif,Staf/Layanan
"Kelengkapan kamar kurang, tidak ada disposal bag dan shower cap",negatif,fasilitas
Lalu di tempat sampahnya kenapa tidak diberi trash bag?,negatif,kebersihan
"Sangat sempurna untuk tempat istirahat, liburan juga untuk akomodasi dalam melakukan misi kerja",positif,Other
"Akomodasi di sini cocok untuk segala keperluan, bersih, nyaman dan pelayanan oke",positif,Staf/Layanan
Tempatnya juga strategis,positif,lokasi
"Terkesan dengan disain ruang makan untuk sarapan, kelassy dan menarik",positif,fasilitas
Meski menu sesuai dengan harga kamar dan bintang hotel,positif,Other
Lokasi strategis,positif,lokasi
Kebersihan dan pelayanan cukup baik,positif,Staf/Layanan
"Sudah sering sekali menginap disini, dan masih tetap cepat, pelayanan staf ramah ",positif,Staf/Layanan
"Good lah pokoknya ini hotel, receptiinist ramah dan cepat pelayanan",positif,Staf/Layanan
"Ramah, nyaman dan menyenangkan",positif,Other
Menyenangkan resepsionis ramah dan cepat pelayanannya,positif,Staf/Layanan
"Kamar persis di foto, luas, nyaman",positif,fasilitas
Pegawai ramah saat ditanya,positif,Staf/Layanan
Untuk sarapan no comment karena kita tidak makan waktu itu,netral,fasilitas
Pagi-pagi sudah check-out,netral,Other
"Hotel paling enak dan terjangkau di kota Bojonegoro, lokasi mantab, staff ramah-ramah,",positif,lokasi
"Tempat strategis, aman, nyaman",positif,lokasi
"Lokasi hotel di tengah kota, tempat sarapannya bagus kekinian rasa makanannya cukup enak",positif,lokasi
"Kamar cukup bersih, bednya nyaman",positif,kebersihan
Air panas juga lancar,positif,fasilitas
"Kamar cukup luas, pelayanan ramah, ada bento murah di hotelnya ajib, lokasi strategis, staf ramah",positif,Staf/Layanan
Tempat yg bener2 bikin funn palagy bawak bayi yg kadang rewel kalo ditmpat asing,positif,lokasi
eh tiba di fave dia kegirangan setengah mati,positif,Other
Hotel yg full dgn wrna pink,netral,Other
Puas bgt,positif,Other
Dilobi ada infuse water free,positif,fasilitas
Di setiap lantai ada dispenser panas dingin,positif,fasilitas
Seneng buat kita yg kudu gercep bikin susu Dgn air panas,positif,fasilitas
Bagus bgt pokoknyağŸ’ğŸ’ğŸ’,positif,Other
"Untuk pertama kali menginap di Fave, lumayan memuaskan",positif,Other
"harga makanan dan minuman murah-murah, parkir luas, ada ruang meeting dan cafe, mantab, pertahankan",positif,fasilitas
"kalau soal makanan, maaf tidak bisa kasih review karena kemarin milih yang non breakfast",netral,fasilitas
tapi lampu lorongnya di setiap lantai tidak dinyalain semua jadi terkesan gelap dan seram,negatif,fasilitas
"Staf hotelnya ramah, murah senyum dan cepat tanggap",positif,Staf/Layanan
"Suasana kamar hotel yang nyaman, bersih dan menyenangkan",positif,kebersihan
Sangat recommended sekali untuk menginap baik sendiri maupun bareng keluarga,positif,Other
karyawan ramah dan helpful,positif,Staf/Layanan
"Recommended untuk di Bojonegoro, nyaman, parkir luas, kamar luas",positif,fasilitas
"makanan enak dan variatif, tiap hari ganti menunya",positif,fasilitas
"Tidak pernah bosan sama hotel in, semua staffnya friendly, will be back soon",positif,Staf/Layanan
"nyaman, breakfastnya yang kurang bervariasi",positif,fasilitas
"Kamar cukup luas,ada bento murah di hotelnya ajib",positif,fasilitas
Bersih nyaman restonya enak. ,positif,kebersihan
lokasi strategis,positif,lokasi
Bersih kamarnya,positif,kebersihan
"Hotel yang bersih, toilet bersih.",positif,kebersihan
favehotel Bojonegoro berada di pusat kota dengan lokasi yang strategis. Termasuk salah satu hotel yang bagus di daerah tersebut dengan kelas bintang 3,positif,lokasi
"Berada di tengah kota Bersih, tenang, tersedia kamar dengan connecting door.  ",positif,lokasi
"Setiap business trip ke daerah Bojonegoro, pasti nginepnya di sini. Deket kemana-mana, mau antigen tinggal jalan.",netral,lokasi
"Saya sangat menikmati menginap disi, tempat nyaman pelayanan ramah ",positif,Staf/Layanan
Makanannya enak sama pelayanannya mantap.,positif,Staf/Layanan
Sangat bagus untuk tinggal di sini! Berkali-kali saya menginap di fave ketika saya pergi ke Bojonegoro,positif,Other
Mie gorengnya yummy pizzanya enak juga ğŸ˜€,positif,fasilitas
 pelayanannya oke banget. ,positif,Staf/Layanan
"pegawainya ramah-ramah, ",positif,Staf/Layanan
"Kebersihan hotel terjaga,",positif,kebersihan
"Teman saya sempat kehilangan dompet tp akhirnya ditemukan pihak hotel, terima kasih banyak.",positif,Staf/Layanan
"Hotel aman, nyaman & strategis. Recommended ğŸ‘.",positif,fasilitas
Staff Hotel sangat ramah.,positif,Staf/Layanan
Sangat nyaman banget semoga selalu nyaman.,positif,fasilitas
"Kamarnya sangat bagus, pelayanannya semuanya ramah-ramah. Memuaskan sekali.",positif,Staf/Layanan
"Terkesan dengan suasana Hotel yang rindang dengan bunga dan pohon, bersih serta tenang. ",positif,kebersihan
"Lokasi di pusat kota, banyak kuliner. ",positif,lokasi
Nyaman dan pelayanan ramah. Mantap.,positif,Staf/Layanan
"Sangat nyaman dan sesuai dengan harganya, meskipun harganya agak tinggi waktu high season dan tanggal merah. Cuma hotel ini menjadi pilihan satu-satunya jika berkunjung ke bojonegoro town of gas and oil.",positif,Other
"Hotel aman, nyaman, strategis.",positif,fasilitas
"karena tamu sepi dan kondisi lampu di lorong lantai 2 kurang, jadi kesannya seram.",negatif,fasilitas
Sangat bersih,positif,kebersihan
Hotelnya keren pelayanan sangat baik.,positif,Staf/Layanan
"Alhamdulillah, pertama Kali nginep di hotel ini, nyaman bersih, rapi, jadi pingin balik lagi.",positif,kebersihan
Selalu di fave kalau ke bojonegoro.,netral,Other
"Sangat bersih, petugas sangat efisien. Mengesankan tinggal di hotel ini. Semoga makin sukses Fave Hotel.",positif,kebersihan
Udah 2x nginep sini. Oke banget.,positif,Other
Semalam saya dapet kamar 727. Secara umum kamar nyaman & tidak ada kendala. ,positif,fasilitas
Secara umum semua service hotel ini bagus. Security juga baik.,positif,Staf/Layanan
"Suasana tenang, parkiran cukup luas walaupun memakai lahan di seberang hotel, ",positif,fasilitas
Bersih nyaman dan tenang. Bisa buat healing menghirup udara segar dimalam hari sambil melihat kerlap kerlip kota bojonegoro dari ketinggian.,positif,kebersihan
"Tempat strategis dekat dengan tempat makan, Sudsh 2x menginap di sini.",positif,lokasi
Alhamdulillah. Suasananya tenang Dan pelayanannya ramah. Matur nuwun.,positif,Staf/Layanan
"Kamar cukup luas, sarapan menyenangkan. Namun semua harus self servis ğŸ‘.",positif,fasilitas
"Permintaan kamar dipenuhi dengan baik, disambut ramah oleh petugas di resepsionis, kebetulan toiler saya kurang bersih namun cepat tanggap saat saya telfon minta di bersihkan.",positif,Staf/Layanan
dan parkiran mampu menampung banyak mobil. ,positif,fasilitas
"Untuk breakfast terdapat 4 main menu, roti, omelet, buah, dan beberapa makanan tambahan. Overall hotel ini oke dan layak untuk menjadi tempat stay di Bojonegoro.",positif,fasilitas
Tamu diberikan pilihan kamar. Parkir mobil luas.,positif,fasilitas
Minusnya tidak tersedia pemanas air dan teh/kopi.,negatif,fasilitas
pelayanannya juga baik semua,positif,Staf/Layanan
 Kamarnya bersih,positif,kebersihan
"fasilitas ok, masakan enak dengan beragam menu,",positif,fasilitas
 letak strategis Deket alun-alun. Rekomendasi banget deh saat liburan nginap di Favehotel Bojonegoro! ,positif,lokasi
Breakfast nya yummy. ,positif,fasilitas
Stafnya ramah. Akan nginap lagi dech.,positif,Staf/Layanan
"Suasana hotel tenang, bersih dan ",positif,kebersihan
staf nya ramah,positif,Staf/Layanan
 Lahan parkir agak terbatas.,negatif,fasilitas
 Semoga ada penambahan penerangan lagi. Dan haduk kumel ya. Harus peremajaan lagi.,negatif,fasilitas
 dan nyaman banget pelayanan.,positif,Staf/Layanan
 Pelayanan Ramah. Booking mudah.,positif,Staf/Layanan
Hanya sekali lagi mengalami hal yang kurang nyaman waktu mandi. Air mengalir hanya kecil & air panas-nya timbul tenggelam. Kadang panas sekali tapi juga setelah beberapa waktu tau-tau jadi dingin. Karena usia hotel rasanya sudah saatnya ada perbaikan. Termasuk dudukan closet yang cat-nya mulai terkelupas. Terima kasih.,negatif,fasilitas
 Hanya dudukan & tutup closet kurang begitu bersih. Mgk karena perkakas sudah berumur. Jadi seperti cat-nya lepasÂ².,negatif,kebersihan
Semua fasilitas & breakfast baik. ,positif,fasilitas
"akses nya sangat mudah karena berada di dekat alun-alun,",positif,lokasi
 makanan cukup beragam dan enak.,positif,fasilitas
 Mungkin sudah butuh perbaikan di kasur nya yang berasa agak turun karena faktor pemakaian dalam waktu yang lama.,negatif,fasilitas
 Npampak perlu ada perbaikan kamarnya namun masih bagus dna layak.,negatif,fasilitas
Freshroom yang smoking room sofanya udah kurang bagus.,negatif,fasilitas
"Hotel langganan kalau ke Bojonegoro, kamar bersih dan nyaman.",positif,kebersihan
Pelayanan sangat baik,positif,Staf/Layanan
Pagi nya sangat eksotik. Masukan nya untuk makanan atau sampah pengunjung segera dibersihkan karena ada kucing yang suka main-mainin.,netral,kebersihan
hanya saja parkir mobil terbatas,negatif,fasilitas
Love it. Setiap ke bojonegoro pasti menginap di sini. Sipp lah.,positif,Other
Bersih dan nyaman. Tapi tidak ada lobby yang luas jika ada temen mau bertemu.,positif,kebersihan
"Kamar luas, bersih, halaman luas dan juga lokasi dekat dengan pusat kota.",positif,kebersihan
"Sangat menyenangkan, next insyaAllah kembali lagi karena dekat dengan rumah kerabat.",positif,lokasi
Menginap di fave cukup menyenangkan karena dekat dengan rumah orang tua.,positif,lokasi
Semua staf hotel sangat tamah dan kamar yang bersih.,positif,kebersihan
"Sesuai harga, langganan tiap bulan kalo ke bojonegoro.",positif,Other
"Untuk kamar enak, nyaman, bersih,",positif,kebersihan
Kak maaf bantalnya kempes banget.,negatif,fasilitas
Sangat nyaman. Mudah dijangkau dan strategis. Semoga bisa berkunjung kembali. Thanks.,positif,lokasi
"Handuk bau rokok, selimut bau keringet atau asam gitu tapi pelayanan dan kebersihan top, walaupun tiap ke bojonegoro selalu nginap di sini, jadi tolong lebih di tingkatkan lagi.",negatif,kebersihan
"Tempat strategis, pelayanan ramah, 10 menit ke Stasiun Bojonegoro, menjadi salah satu hotel pilihan ketika stay di Bojonegoro.",positif,lokasi
"Nyaman, ramah dan bersih sarapan enak.",positif,kebersihan
Bagus penuh kesan terima kasih.,positif,Other
Tempatnya bersih dan ramah-ramah.,positif,kebersihan
"Nyaman, AC dingin, semua ramah.",positif,fasilitas
"Kamar bersih, petugas ramah, tidak coba sarapan.",positif,kebersihan
Cukup nyaman dan ramah pelayanannya.,positif,Staf/Layanan
Lumayan lahh buat harga segitu.,positif,Other
"Kamar bersih dan nyaman, Ac dingin dan pelayanan baik.",positif,Staf/Layanan
"Pelayanannya ramah, kamar cukup bersih.",positif,Staf/Layanan
"Handuk, selimut, dan sprei warnanya sudah menguning dan buluk.",negatif,kebersihan
"Kamar bersih, nyaman, tenang & pegawainya ramah-ramah.",positif,kebersihan
Cuma mungkin secara infrastruktur perlu mendapat perhatian lebih seperti sela atau lubang dinding dan lantai yang mengakibatkan munculnya semut dan lain-lain. ,negatif,fasilitas
"Cuma request checkout buat mandi 30 menit aja gabisa, padahal hotel lain bisa kompen bentar.",negatif,Staf/Layanan
"Layanan kamar termasuk buruk, ",negatif,Staf/Layanan
"Senang menginap disini, selalu pilih fave disetiap kota",positif,Other
Secara keseluruhan tinggal di sana selama satu malam tidak buruk meskipun ruangan itu agak gelap dan sikat gigi hanya untuk satu orang sementara saya tinggal untuk dua orang.,negatif,fasilitas
"Kamar bagus, lokasi bagus, dekat banyak kedai kopi dan restoran makanan tradisional, sarapan enak.",positif,fasilitas
Area parkir terbatas ,negatif,fasilitas
Hotel ini memiliki semua yang Anda butuhkan sebagai persyaratan menengah untuk menginap.area parkir aman dengan WIFI di dalam kamar ,positif,fasilitas
Tempat yang terjangkau dan akomodasi yang nyaman di kota.,positif,lokasi
Keramahan dan Nyaman. Salam.,positif,Staf/Layanan
Hotel yang bagus bersih dan hangatâ€¦ tingkatkan terus untuk makanan lainnyaâ€¦.,positif,kebersihan
tempat strategis. ,positif,lokasi
Hotel bersih dan nyaman.,positif,kebersihan
Kartu pintu masuk kamar sempat gangguan.,negatif,fasilitas
Secara service bagus. ,positif,Staf/Layanan
"fasilitas dispenser air minum kurang, ",negatif,fasilitas
kamar mandi kurang bersih.,negatif,kebersihan
Kebersihan kamar bagus.,positif,kebersihan
Meja depan dan petugas keamanan sangat membantu.,positif,fasilitas
Tidak ada tisu makan di kamar hanya tisu toilet.,negatif,fasilitas
"dan area sekitar, dekat dengan tempat kuliner lezat, dekat rumah sakit, dll. Sempurna dan harga sangat terjangkau.",positif,lokasi
" Kamar sempurna dengan kamar mandi bersih, ",positif,kebersihan
" Ada masalah pada lift, saat digunakan tidak bisa menutup dan hanya 1 lift yang diaktifkan, selain itu sarapan makin menurun kualitas nya, susu dicampur air terlalu banyak dan makanan yang disajikan kurang enak, nasi goreng hambar dan di proses ulang mengakibatkan nasi jadi lembek dan tidak enak.",negatif,fasilitas
hanya saja saya dapat kamar 312 mungkin dekat tangga darurat atau tempat cleaning agak sedikit berisik.,negatif,kebersihan
Untuk breakfast lumayan dan room service oke.,negatif,Staf/Layanan
akses nya sangat mudah karena berada di dekat alun-alun,positif,lokasi
makanan cukup beragam dan enak,positif,fasilitas
 parkiran mampu menampung banyak mobil,positif,fasilitas
 lokasi dekat kemana mana,netral,lokasi
dekat alun-alun serta tempat kuliner,positif,lokasi
